"","Cell","Batch","Patient","Channel","Group","ExpLibSize"
"Cell1","Cell1","Batch1","Patient3","Channel1","Severe_COVID",42868.0925248756
"Cell2","Cell2","Batch1","Patient8","Channel1","Flu",45871.9503255517
"Cell3","Cell3","Batch1","Patient9","Channel1","Flu",41323.4524068364
"Cell4","Cell4","Batch1","Patient8","Channel1","Healthy",70400.7445625867
"Cell5","Cell5","Batch1","Patient1","Channel1","Flu",56001.8298084802
"Cell6","Cell6","Batch1","Patient5","Channel1","HcwMild_COVID",100933.124039193
"Cell7","Cell7","Batch1","Patient7","Channel1","Severe_COVID",53230.245615736
"Cell8","Cell8","Batch1","Patient11","Channel1","HospMild_COVID",52655.8937818973
"Cell9","Cell9","Batch1","Patient11","Channel1","HcwMild_COVID",60583.9337652882
"Cell10","Cell10","Batch1","Patient13","Channel1","Severe_COVID",55944.9304098865
"Cell11","Cell11","Batch1","Patient8","Channel1","Flu",70635.447140053
"Cell12","Cell12","Batch1","Patient8","Channel1","Healthy",56450.147651487
"Cell13","Cell13","Batch1","Patient13","Channel1","Severe_COVID",61168.390866741
"Cell14","Cell14","Batch1","Patient13","Channel1","HcwMild_COVID",69506.9919624792
"Cell15","Cell15","Batch1","Patient10","Channel1","HospMild_COVID",93351.3946582777
"Cell16","Cell16","Batch1","Patient14","Channel1","Flu",34582.7275311416
"Cell17","Cell17","Batch1","Patient5","Channel1","Severe_COVID",102678.717013614
"Cell18","Cell18","Batch1","Patient8","Channel1","Severe_COVID",39573.3142793963
"Cell19","Cell19","Batch1","Patient6","Channel1","Healthy",90682.0534664681
"Cell20","Cell20","Batch1","Patient10","Channel1","Healthy",126166.153996504
"Cell21","Cell21","Batch1","Patient13","Channel1","Flu",56982.6682865282
"Cell22","Cell22","Batch1","Patient8","Channel1","Severe_COVID",62140.3767387337
"Cell23","Cell23","Batch1","Patient2","Channel1","Flu",49670.857864137
"Cell24","Cell24","Batch1","Patient12","Channel1","Flu",54391.8945703906
"Cell25","Cell25","Batch1","Patient4","Channel1","HcwMild_COVID",51744.4754891568
"Cell26","Cell26","Batch1","Patient1","Channel1","HospMild_COVID",86618.2424634281
"Cell27","Cell27","Batch1","Patient11","Channel1","HospMild_COVID",62541.5850325953
"Cell28","Cell28","Batch1","Patient7","Channel1","Flu",79160.895558228
"Cell29","Cell29","Batch1","Patient4","Channel1","Severe_COVID",65488.0030261024
"Cell30","Cell30","Batch1","Patient3","Channel1","HcwMild_COVID",45454.1477452628
"Cell31","Cell31","Batch1","Patient5","Channel1","Healthy",59042.793559544
"Cell32","Cell32","Batch1","Patient11","Channel1","Flu",92188.2165663821
"Cell33","Cell33","Batch1","Patient7","Channel1","HcwMild_COVID",60029.5707430068
"Cell34","Cell34","Batch1","Patient1","Channel1","HospMild_COVID",55057.955365955
"Cell35","Cell35","Batch1","Patient3","Channel1","HcwMild_COVID",81756.7770998717
"Cell36","Cell36","Batch1","Patient3","Channel1","Healthy",69808.1843877269
"Cell37","Cell37","Batch1","Patient14","Channel1","Healthy",47703.4344199872
"Cell38","Cell38","Batch1","Patient13","Channel1","HospMild_COVID",68621.4656347477
"Cell39","Cell39","Batch1","Patient7","Channel1","Healthy",71210.3121479532
"Cell40","Cell40","Batch1","Patient8","Channel1","Healthy",51791.0393262496
"Cell41","Cell41","Batch1","Patient5","Channel1","Flu",42100.2122967274
"Cell42","Cell42","Batch1","Patient12","Channel1","HospMild_COVID",67965.4692351802
"Cell43","Cell43","Batch1","Patient14","Channel1","Severe_COVID",54279.1742395252
"Cell44","Cell44","Batch1","Patient2","Channel1","Flu",47529.5407517496
"Cell45","Cell45","Batch1","Patient4","Channel1","HospMild_COVID",63128.8347635978
"Cell46","Cell46","Batch1","Patient14","Channel1","Healthy",54391.1675214307
"Cell47","Cell47","Batch1","Patient11","Channel1","Flu",57477.3003686433
"Cell48","Cell48","Batch1","Patient2","Channel1","HcwMild_COVID",56412.1005299421
"Cell49","Cell49","Batch1","Patient3","Channel1","Healthy",43111.183258438
"Cell50","Cell50","Batch1","Patient8","Channel1","HcwMild_COVID",112840.277701186
"Cell51","Cell51","Batch1","Patient13","Channel1","HospMild_COVID",34667.7370894531
"Cell52","Cell52","Batch1","Patient5","Channel1","Severe_COVID",44491.4795128382
"Cell53","Cell53","Batch1","Patient4","Channel1","HcwMild_COVID",78203.7915815741
"Cell54","Cell54","Batch1","Patient3","Channel1","Flu",65626.3093873094
"Cell55","Cell55","Batch1","Patient6","Channel1","HcwMild_COVID",56530.7332439595
"Cell56","Cell56","Batch1","Patient9","Channel1","HospMild_COVID",84853.5933717227
"Cell57","Cell57","Batch1","Patient4","Channel1","HcwMild_COVID",43053.2876903881
"Cell58","Cell58","Batch1","Patient1","Channel1","HcwMild_COVID",54552.5119817202
"Cell59","Cell59","Batch1","Patient12","Channel1","Severe_COVID",26402.9345966346
"Cell60","Cell60","Batch1","Patient7","Channel1","Severe_COVID",74404.6633158503
"Cell61","Cell61","Batch1","Patient3","Channel1","Healthy",69737.8016300658
"Cell62","Cell62","Batch1","Patient1","Channel1","Healthy",53930.2103693498
"Cell63","Cell63","Batch1","Patient4","Channel1","Flu",59029.2865719955
