"","Cell","Batch","Patient","Channel","Group","ExpLibSize"
"Cell1","Cell1","Batch1","Patient3","Channel1","Group1",42868.0925248756
"Cell2","Cell2","Batch1","Patient8","Channel1","Group3",45871.9503255517
"Cell3","Cell3","Batch1","Patient9","Channel1","Group3",41323.4524068364
"Cell4","Cell4","Batch1","Patient8","Channel1","Group4",70400.7445625867
"Cell5","Cell5","Batch1","Patient1","Channel1","Group3",56001.8298084802
"Cell6","Cell6","Batch1","Patient5","Channel1","Group5",100933.124039193
"Cell7","Cell7","Batch1","Patient7","Channel1","Group1",53230.245615736
"Cell8","Cell8","Batch1","Patient11","Channel1","Group2",52655.8937818973
"Cell9","Cell9","Batch1","Patient11","Channel1","Group5",60583.9337652882
"Cell10","Cell10","Batch1","Patient13","Channel1","Group1",55944.9304098865
"Cell11","Cell11","Batch1","Patient8","Channel1","Group3",70635.447140053
"Cell12","Cell12","Batch1","Patient8","Channel1","Group4",56450.147651487
"Cell13","Cell13","Batch1","Patient13","Channel1","Group1",61168.390866741
"Cell14","Cell14","Batch1","Patient13","Channel1","Group5",69506.9919624792
"Cell15","Cell15","Batch1","Patient10","Channel1","Group2",93351.3946582777
"Cell16","Cell16","Batch1","Patient14","Channel1","Group3",34582.7275311416
"Cell17","Cell17","Batch1","Patient5","Channel1","Group1",102678.717013614
"Cell18","Cell18","Batch1","Patient8","Channel1","Group1",39573.3142793963
"Cell19","Cell19","Batch1","Patient6","Channel1","Group4",90682.0534664681
"Cell20","Cell20","Batch1","Patient10","Channel1","Group4",126166.153996504
"Cell21","Cell21","Batch1","Patient13","Channel1","Group3",56982.6682865282
"Cell22","Cell22","Batch1","Patient8","Channel1","Group1",62140.3767387337
"Cell23","Cell23","Batch1","Patient2","Channel1","Group3",49670.857864137
"Cell24","Cell24","Batch1","Patient12","Channel1","Group3",54391.8945703906
"Cell25","Cell25","Batch1","Patient4","Channel1","Group5",51744.4754891568
"Cell26","Cell26","Batch1","Patient1","Channel1","Group2",86618.2424634281
"Cell27","Cell27","Batch1","Patient11","Channel1","Group2",62541.5850325953
